"DisplayName","ApplicationId","ObjectId","Status"
"Office Online Loki SSO","NOT FOUND","N/A","Missing"
"Office Online Maker SSO","NOT FOUND","N/A","Missing"
"Office Online Print SSO","NOT FOUND","N/A","Missing"
"Office Online Search SSO","NOT FOUND","N/A","Missing"
"Office Online Service","e03a13ee-9730-4cae-8525-47559c8cf18a","a17b454b-4810-489f-8870-945b1aea400b","Found"
"Office Online Speech SSO","NOT FOUND","N/A","Missing"
"Office Scripts Service","NOT FOUND","N/A","Missing"
"Office Scripts Service - INT","NOT FOUND","N/A","Missing"
"Office Scripts Service - Local","NOT FOUND","N/A","Missing"
"Office Scripts Service - Test","NOT FOUND","N/A","Missing"
"Office Shredding Service","b97b6bd4-a49f-4a0c-af18-af507d1da76c","5c06e78f-e5d4-4286-b01b-2ae66a050ed3","Found"
"Office.com","NOT FOUND","N/A","Missing"
"Office365 Shell DoD WCSS-Client","NOT FOUND","N/A","Missing"
"Office365 Shell WCSS-Client","NOT FOUND","N/A","Missing"
"OfficeClientService","0f698dd4-f011-4d23-a33e-b36416dcb1e6","e654d1db-ef7f-4246-a6b6-03dc3f3dfef2","Found"
"OfficeHome","NOT FOUND","N/A","Missing"
"OfficePowerPointSGS","NOT FOUND","N/A","Missing"
"OfficeServicesManager","9e4a5442-a5c9-4f6f-b03f-5b9fcaaf24b1","13e3b426-db73-40c7-ae94-b125466387ec","Found"
"Olympus","NOT FOUND","N/A","Missing"
"OMEX External","NOT FOUND","N/A","Missing"
"One Outlook Web","NOT FOUND","N/A","Missing"
"OneDrive","NOT FOUND","N/A","Missing"
"OneDrive SyncEngine","NOT FOUND","N/A","Missing"
"OneNote","2d4d3d8e-2be3-4bef-9f87-7875a61c29de","252b84ca-faa0-4836-a07e-a142c2bcc293","Found"
"OneOutlook","NOT FOUND","N/A","Missing"
"Outlook Browser Extension","NOT FOUND","N/A","Missing"
"Outlook Service for Exchange","NOT FOUND","N/A","Missing"
"PowerApps Service","475226c6-020e-4fb2-8a90-7a972cbfc1d4","eaca6f9f-5b59-474c-9845-68f014a0c22c","Found"
"Project for the web","NOT FOUND","N/A","Missing"
"ProjectWorkManagement","09abbdfd-ed23-44ee-a2d9-a627aa1c90f3","560d3b62-88d9-46a3-a3e5-83ed350c4b7a","Found"
"ProjectWorkManagement_AdminTools","NOT FOUND","N/A","Missing"
"ProjectWorkManagement_USGov","NOT FOUND","N/A","Missing"
"Protection Center","NOT FOUND","N/A","Missing"
"Reply-At-Mention","NOT FOUND","N/A","Missing"
"SharePoint eSignature","NOT FOUND","N/A","Missing"
"SharePoint eSignature PPE","NOT FOUND","N/A","Missing"
"SharePoint Online Web Client Extensibility","08e18876-6177-487e-b8b5-cf950c1e598c","edc57f2f-3959-4860-b38a-36f3581ae596","Found"
"SharePoint Online Web Client Extensibility Isolated","3bc2296e-aa22-4ed2-9e1e-946d05afa6a2","79cede76-dfd6-41c2-8411-3eadfe3ebced","Found"
"Skype and Teams Tenant Admin API","48ac35b8-9aa8-4d74-927d-1f4a14a0b239","f59552dc-d821-45ae-b5b9-d25e4c93a09e","Found"
"Skype for Business","7557eb47-c689-4224-abcf-aef9bd7573df","ef7f0d3d-b331-4354-92e1-b91e324d6b81","Found"
"Skype for Business Online","00000004-0000-0ff1-ce00-000000000000","0641bf72-5f43-486a-a272-e91b1a1a606c","Found"
"Skype Presence Service","1e70cd27-4707-4589-8ec5-9bd20c472a46","8832a1b3-e4c7-4354-9848-92c16d0b1246","Found"
"Sway","905fcf26-4eb7-48a0-9ff0-8dcc7194b5ba","1f780e23-fec3-44db-9259-299becad3bd8","Found"
"Targeted Messaging Service","NOT FOUND","N/A","Missing"
"Teams CMD Services Artifacts","NOT FOUND","N/A","Missing"
"Teams Walkie Talkie Service","NOT FOUND","N/A","Missing"
"Teams Walkie Talkie Service - GCC","NOT FOUND","N/A","Missing"
"Viva Engage","00000005-0000-0ff1-ce00-000000000000","fdd586b4-baca-4c83-93ad-11d687be6ce6","Found"
